Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
América,40,34.0,49,3,0,333,409,66,513,297,369,2,2,0
Atlas,31,34.0,74,4,1,437,426,42,622,357,347,5,5,1
Atlético San Luis,33,34.0,50,1,0,359,400,41,546,293,328,4,2,0
Cruz Azul,33,34.0,76,3,0,418,351,51,696,262,425,3,4,1
FC Juárez,36,34.0,85,3,1,388,362,39,614,367,345,3,7,1
Guadalajara,38,34.0,75,6,4,416,348,80,695,291,468,3,4,1
León,36,34.0,77,8,3,416,345,75,577,281,375,5,4,2
Mazatlán,35,34.0,96,3,1,431,366,62,654,281,367,2,8,1
Monterrey,34,34.0,65,6,0,360,403,57,617,305,400,7,5,0
Necaxa,33,34.0,61,2,0,425,333,50,588,323,430,3,5,0
Pachuca,38,34.0,83,11,3,431,444,75,545,363,413,2,5,0
Puebla,37,34.0,78,6,3,462,329,56,545,351,370,4,7,1
Querétaro,41,34.0,80,9,5,414,382,69,552,306,370,2,9,0
Santos Laguna,40,34.0,81,6,2,396,495,47,573,305,378,1,4,4
Tijuana,35,34.0,67,2,0,413,398,45,443,319,396,6,7,2
Toluca,32,34.0,67,2,1,382,323,62,501,314,402,2,1,1
UANL,31,34.0,64,6,2,409,421,65,753,338,404,5,5,0
UNAM,32,34.0,76,1,0,438,351,63,605,289,390,8,3,2
