Squad,# Pl,Poss,90s
América,26,57.3,7.0
Atlante,26,41.3,8.0
Atlas,26,50.9,8.0
Atlético San Luis,22,53.1,8.0
Cruz Azul,26,56.4,8.0
FC Juárez,24,43.6,8.0
Guadalajara,22,59.5,8.0
León,22,48.0,8.0
Monterrey,24,58.0,7.0
Necaxa,22,51.4,8.0
Pachuca,22,45.3,8.0
Puebla,22,39.4,7.0
Querétaro,21,40.4,7.0
Santos Laguna,26,49.9,8.0
Tijuana,21,46.3,7.0
Toluca,28,61.0,7.0
UANL,24,51.9,8.0
UNAM,24,47.8,8.0
