Squad,# Pl,Poss,90s
América,40,56.6,34.0
Atlas,31,46.2,34.0
Atlético San Luis,33,52.8,34.0
Cruz Azul,33,57.1,34.0
FC Juárez,36,46.9,34.0
Guadalajara,38,51.7,34.0
León,36,49.2,34.0
Mazatlán,35,47.4,34.0
Monterrey,34,55.6,34.0
Necaxa,33,43.9,34.0
Pachuca,38,50.8,34.0
Puebla,37,39.2,34.0
Querétaro,41,39.7,34.0
Santos Laguna,40,47.9,34.0
Tijuana,35,58.2,34.0
Toluca,32,53.7,34.0
UANL,31,53.6,34.0
UNAM,32,49.6,34.0
