Squad,# Pl,90s,Crs
América,40,34.0,513
Atlas,31,34.0,622
Atlético San Luis,33,34.0,546
Cruz Azul,33,34.0,696
FC Juárez,36,34.0,614
Guadalajara,38,34.0,695
León,36,34.0,577
Atlante,35,34.0,654
Monterrey,34,34.0,617
Necaxa,33,34.0,588
Pachuca,38,34.0,545
Puebla,37,34.0,545
Querétaro,41,34.0,552
Santos Laguna,40,34.0,573
Tijuana,35,34.0,443
Toluca,32,34.0,501
UANL,31,34.0,753
UNAM,32,34.0,605
